900.000000,324379495.200651,107922956.522921,136032227.648800
900.100000,324380094.433812,107920683.150333,136032283.284297
900.200000,324380693.646127,107918409.774238,136032338.906135
900.300000,324381292.837029,107916136.397023,136032394.514248
900.400000,324381892.007632,107913863.014327,136032450.108767
900.500000,324382491.156609,107911589.630483,136032505.689626
900.600000,324383090.285513,107909316.241047,136032561.256825
900.700000,324383689.393578,107907042.848107,136032616.810363
900.800000,324384288.480226,107904769.454184,136032672.350174
900.900000,324384887.546599,107902496.054506,136032727.876390
901.000000,324385486.592120,107900222.651597,136032783.388942
901.100000,324386085.616806,107897949.245186,136032838.887834
901.200000,324386684.619856,107895675.837903,136032894.373061
901.300000,324387283.602298,107893402.427008,136032949.844559
901.400000,324387882.565240,107891129.008270,136033005.302459
901.500000,324388481.506565,107888855.588392,136033060.746696
901.600000,324389080.426261,107886582.167643,136033116.177267
901.700000,324389679.325914,107884308.741033,136033171.594173
901.800000,324390278.204162,107882035.313443,136033226.997348
901.900000,324390877.062148,107879761.880102,136033282.386922
902.000000,324391475.899292,107877488.443532,136033337.762830
902.100000,324392074.715613,107875215.003462,136033393.125072
902.200000,324392673.511096,107872941.560163,136033448.473645
902.300000,324393272.285199,107870668.115617,136033503.808485
902.400000,324393871.038241,107868394.667949,136033559.129723
902.500000,324394469.771250,107866121.214424,136033614.437292
902.600000,324395068.483426,107863847.757672,136033669.731193
902.700000,324395667.174002,107861574.299781,136033725.011424
902.800000,324396265.843970,107859300.838553,136033780.277918
902.900000,324396864.494470,107857027.369219,136033835.530809
903.000000,324397463.124143,107854753.896657,136033890.770028
903.100000,324398061.731435,107852480.425317,136033945.995577
903.200000,324398660.318684,107850206.948394,136034001.207454
903.300000,324399258.884566,107847933.470223,136034056.405593
903.400000,324399857.430184,107845659.986577,136034111.590125
903.500000,324400455.954211,107843386.501794,136034166.760985
903.600000,324401054.458202,107841113.011428,136034221.918171
903.700000,324401652.941388,107838839.517566,136034277.061683
903.800000,324402251.403196,107836566.022731,136034332.191455
903.900000,324402849.843977,107834292.524509,136034387.307618
904.000000,324403448.265520,107832019.018211,136034442.410107
904.100000,324404046.666247,107829745.508687,136034497.498919
904.200000,324404645.044608,107827472.000391,136034552.574057
904.300000,324405243.402378,107825198.488763,136034607.635450
904.400000,324405841.739914,107822924.971389,136034662.683235
904.500000,324406440.056640,107820651.450796,136034717.717341
904.600000,324407038.351789,107818377.929069,136034772.737769
904.700000,324407636.627698,107816104.399401,136034827.744519
904.800000,324408234.880687,107813830.873211,136034882.737526
904.900000,324408833.114214,107811557.339190,136034937.716918
905.000000,324409431.326954,107809283.801677,136034992.682633
905.100000,324410029.518890,107807010.260945,136035047.634666
905.200000,324410627.690041,107804736.716721,136035102.573019
905.300000,324411225.839829,107802463.171528,136035157.497627
905.400000,324411823.968611,107800189.622955,136035212.408619
905.500000,324412422.078163,107797916.066443,136035267.305928
905.600000,324413020.166149,107795642.508800,136035322.189556
905.700000,324413618.233337,107793368.947940,136035377.059502
905.800000,324414216.278405,107791095.388201,136035431.915699
905.900000,324414814.304022,107788821.820632,136035486.758279
906.000000,324415412.309647,107786548.247215,136035541.587176
906.100000,324416010.292911,107784274.675303,136035596.402387
906.200000,324416608.256186,107782001.097541,136035651.203914
906.300000,324417206.198112,107779727.518813,136035705.991690
906.400000,324417804.119828,107777453.934346,136035760.765848
906.500000,324418402.019970,107775180.349027,136035815.526318
906.600000,324418999.900129,107772906.757858,136035870.273103
906.700000,324419597.759504,107770633.163473,136035925.006201
906.800000,324420195.597552,107768359.567854,136035979.725547
906.900000,324420793.414593,107766085.969130,136036034.431270
907.000000,324421391.213222,107763812.359837,136036089.123305
907.100000,324421988.989504,107761538.752053,136036143.801652
907.200000,324422586.744240,107759265.143143,136036198.466311
907.300000,324423184.478422,107756991.530909,136036253.117214
907.400000,324423782.192405,107754717.912941,136036307.754493
907.500000,324424379.885613,107752444.291760,136036362.378082
907.600000,324424977.557280,107750170.669454,136036416.987981
907.700000,324425575.209751,107747897.039080,136036471.584189
907.800000,324426172.839323,107745623.412466,136036526.166639
907.900000,324426770.449485,107743349.777758,136036580.735464
908.000000,324427368.038877,107741076.139837,136036635.290596
908.100000,324427965.607519,107738802.498433,136036689.832035
908.200000,324428563.156178,107736528.851459,136036744.359781
908.300000,324429160.682746,107734255.205613,136036798.873769
908.400000,324429758.188324,107731981.556668,136036853.374127
908.500000,324430355.673940,107729707.901879,136036907.860792
908.600000,324430953.138794,107727434.243882,136036962.333761
908.700000,324431550.582904,107725160.582404,136037016.793035
908.800000,324432148.004912,107722886.922328,136037071.238549
908.900000,324432745.408304,107720613.251798,136037125.670432
909.000000,324433342.790158,107718339.580423,136037180.088618
909.100000,324433940.150487,107716065.907927,136037234.493107
909.200000,324434537.490844,107713792.229862,136037288.883898
909.300000,324435134.809907,107711518.550569,136037343.260927
909.400000,324435732.108776,107709244.865819,136037397.624324
909.500000,324436329.386128,107706971.179951,136037451.974021
909.600000,324436926.643514,107704697.488516,136037506.310019
909.700000,324437523.880951,107702423.791241,136037560.632317
909.800000,324438121.096298,107700150.095371,136037614.940851
909.900000,324438718.291474,107697876.393773,136037669.235749
910.000000,324439315.465905,107695602.688969,136037723.516946
910.100000,324439912.619609,107693328.980690,136037777.784443
910.200000,324440509.751787,107691055.271565,136037832.038237
910.300000,324441106.863465,107688781.558853,136037886.278266
910.400000,324441703.954961,107686507.840689,136037940.504655
910.500000,324442301.025735,107684234.119047,136037994.717343
910.600000,324442898.074987,107681960.396561,136038048.916328
