0.000000,6504820.566676,-488103.056174,1841823.673137
0.100000,6504693.959960,-487649.329696,1842390.908449
0.200000,6504567.278378,-487195.576071,1842958.120178
0.300000,6504440.519221,-486741.834068,1843525.307642
0.400000,6504313.685051,-486288.064332,1844092.472184
0.500000,6504186.773165,-485834.305629,1844659.613123
0.600000,6504059.786415,-485380.519800,1845226.730450
0.700000,6503932.721953,-484926.745013,1845793.824159
0.800000,6503805.582776,-484472.943707,1846360.893566
0.900000,6503678.365747,-484019.152855,1846927.940015
1.000000,6503551.073856,-483565.334896,1847494.962824
1.100000,6503423.704266,-483111.527997,1848061.961986
1.200000,6503296.259814,-482657.694002,1848628.937492
1.300000,6503168.737818,-482203.871672,1849195.888661
1.400000,6503041.140813,-481750.021659,1849762.816836
1.500000,6502913.466122,-481296.182722,1850329.721334
1.600000,6502785.716571,-480842.316709,1850896.602148
1.700000,6502657.889340,-480388.461782,1851463.459271
1.800000,6502529.987398,-479934.580386,1852030.292020
1.900000,6502402.007634,-479480.709487,1852597.101739
2.000000,6502273.953012,-479026.811532,1853163.887744
2.100000,6502145.820722,-478572.924679,1853730.650030
2.200000,6502017.613574,-478119.010781,1854297.388588
2.300000,6501889.328914,-477665.108591,1854864.102736
2.400000,6501760.969248,-477211.178768,1855430.793817
2.500000,6501632.531927,-476757.260065,1855997.461149
2.600000,6501504.019750,-476303.314336,1856564.104724
2.700000,6501375.429924,-475849.379736,1857130.724536
2.800000,6501246.765392,-475395.418717,1857697.319902
2.900000,6501118.023067,-474941.468238,1858263.892164
3.000000,6500989.205889,-474487.490754,1858830.440641
3.100000,6500860.311074,-474033.524415,1859396.965325
3.200000,6500731.341406,-473579.531081,1859963.466209
3.300000,6500602.294256,-473125.549499,1860529.942611
3.400000,6500473.172105,-472671.540333,1861096.395873
3.500000,6500343.972328,-472217.542331,1861662.825314
3.600000,6500214.697701,-471763.517353,1862229.230925
3.700000,6500085.345455,-471309.503547,1862795.612701
3.800000,6499955.917127,-470855.482444,1863361.969957
3.900000,6499826.413799,-470401.433782,1863928.304038
4.000000,6499696.832862,-469947.396305,1864494.614261
4.100000,6499567.177076,-469493.331879,1865060.900619
4.200000,6499437.443687,-469039.278645,1865627.163104
4.300000,6499307.635600,-468585.199069,1866193.401034
4.400000,6499177.749766,-468131.130097,1866759.615753
4.500000,6499047.789084,-467677.034195,1867325.806577
4.600000,6498917.750812,-467222.949503,1867891.973500
4.700000,6498787.637693,-466768.837892,1868458.116513
4.800000,6498657.447141,-466314.738097,1869024.234936
4.900000,6498527.181592,-465860.610795,1869590.330111
5.000000,6498396.838465,-465406.494720,1870156.401355
5.100000,6498266.420493,-464952.351745,1870722.448661
5.200000,6498135.924949,-464498.220007,1871288.472023
5.300000,6498005.354713,-464044.061978,1871854.470757
5.400000,6497874.706759,-463589.914594,1872420.446207
5.500000,6497743.983963,-463135.740332,1872986.397690
5.600000,6497613.183606,-462681.577323,1873552.325199
5.700000,6497482.308408,-462227.387445,1874118.228726
5.800000,6497351.355808,-461773.209427,1874684.107591
5.900000,6497220.328216,-461319.003951,1875249.963135
6.000000,6497089.223076,-460864.809746,1875815.794675
6.100000,6496958.043096,-460410.588693,1876381.602206
6.200000,6496826.785575,-459956.378917,1876947.385719
6.300000,6496695.453367,-459502.142902,1877513.144533
6.400000,6496564.043472,-459047.917576,1878078.879989
6.500000,6496432.558739,-458593.665421,1878644.591407
6.600000,6496300.996477,-458139.424562,1879210.278778
6.700000,6496169.359377,-457685.156885,1879775.942095
6.800000,6496037.644909,-457230.901111,1880341.580677
6.900000,6495905.855451,-456776.617930,1880907.195865
7.000000,6495773.988477,-456322.346063,1881472.786978
7.100000,6495642.046667,-455868.047397,1882038.354009
7.200000,6495510.027347,-455413.760053,1882603.896949
7.300000,6495377.933347,-454959.446520,1883169.415119
7.400000,6495245.761689,-454505.143718,1883734.909858
7.500000,6495113.513866,-454050.833195,1884300.380485
7.600000,6494981.191209,-453596.495899,1884865.826994
7.700000,6494848.791059,-453142.169946,1885431.249377
7.800000,6494716.316230,-452687.817828,1885996.646953
7.900000,6494583.763759,-452233.476465,1886562.021062
8.000000,6494451.136456,-451779.108348,1887127.371023
8.100000,6494318.431673,-451324.751592,1887692.696829
8.200000,6494185.652058,-450870.368094,1888257.998473
8.300000,6494052.795123,-450415.996563,1888823.275274
8.400000,6493919.863204,-449961.597702,1889388.528572
8.500000,6493786.853816,-449507.210218,1889953.757687
8.600000,6493653.769599,-449052.796012,1890518.962609
8.700000,6493520.607920,-448598.393192,1891084.143334
8.800000,6493387.371568,-448143.964259,1891649.299179
8.900000,6493254.057604,-447689.546122,1892214.431485
9.000000,6493120.668814,-447235.101283,1892779.539572
9.100000,6492987.202574,-446780.667848,1893344.623430
9.200000,6492853.661508,-446326.207721,1893909.683054
9.300000,6492720.043154,-445871.759604,1894474.717763
9.400000,6492586.349819,-445417.284207,1895039.728897
9.500000,6492452.579047,-444962.820231,1895604.715774
9.600000,6492318.733451,-444508.329584,1896169.678388
9.700000,6492184.810424,-444053.850365,1896734.616730
9.800000,6492050.812730,-443599.345084,1897299.530122
9.900000,6491916.737455,-443144.850642,1897864.419902
10.000000,6491782.587358,-442690.329549,1898429.285389
10.100000,6491648.359842,-442235.819903,1898994.126577
10.200000,6491514.057506,-441781.283615,1899558.943458
10.300000,6491379.677914,-441326.759380,1900123.735352
10.400000,6491245.223345,-440872.207917,1900688.503597
10.500000,6491110.691371,-440417.667917,1901253.247514
10.600000,6490976.084577,-439963.101296,1901817.967095
